week_end,indicator,high_industry,value
17/11/2019,Number of Paid Jobs - 27 days,C Services,1657410
17/11/2019,Number of Paid Jobs - 27 days,Total,2202640
24/11/2019,Number of Paid Jobs - 6 days,A Primary,78580
24/11/2019,Number of Paid Jobs - 6 days,B Goods Producing,366760
24/11/2019,Number of Paid Jobs - 6 days,C Services,1205310
24/11/2019,Number of Paid Jobs - 6 days,Total,1669130
24/11/2019,Number of Paid Jobs - 13 days,A Primary,102980
24/11/2019,Number of Paid Jobs - 13 days,B Goods Producing,410620
24/11/2019,Number of Paid Jobs - 13 days,C Services,1598250
24/11/2019,Number of Paid Jobs - 13 days,Total,2135240
24/11/2019,Number of Paid Jobs - 27 days,A Primary,109040
24/11/2019,Number of Paid Jobs - 27 days,B Goods Producing,418750
24/11/2019,Number of Paid Jobs - 27 days,C Services,1670780
24/11/2019,Number of Paid Jobs - 27 days,Total,2234590
01/12/2019,Number of Paid Jobs - 6 days,A Primary,81590
01/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,360300
01/12/2019,Number of Paid Jobs - 6 days,C Services,1269570
01/12/2019,Number of Paid Jobs - 6 days,Total,1728530
01/12/2019,Number of Paid Jobs - 13 days,A Primary,106440
01/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,415400
01/12/2019,Number of Paid Jobs - 13 days,C Services,1606790
01/12/2019,Number of Paid Jobs - 13 days,Total,2155650
01/12/2019,Number of Paid Jobs - 27 days,A Primary,111650
01/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,421680
01/12/2019,Number of Paid Jobs - 27 days,C Services,1668730
01/12/2019,Number of Paid Jobs - 27 days,Total,2239060
08/12/2019,Number of Paid Jobs - 6 days,A Primary,76790
08/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,340470
08/12/2019,Number of Paid Jobs - 6 days,C Services,1195150
08/12/2019,Number of Paid Jobs - 6 days,Total,1629040
08/12/2019,Number of Paid Jobs - 13 days,A Primary,103410
08/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,410240
08/12/2019,Number of Paid Jobs - 13 days,C Services,1601830
08/12/2019,Number of Paid Jobs - 13 days,Total,2150140
08/12/2019,Number of Paid Jobs - 27 days,A Primary,108870
08/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,417100
08/12/2019,Number of Paid Jobs - 27 days,C Services,1649590
